closed_left;closed_right;norm_eye_area_left;norm_eye_area_right
closed;closed;2.0828019515782072;2.5123798540912126
closed;closed;2.3668630751115556;2.4961998551722964
closed;closed;2.607174874215818;3.0823742355260904
closed;closed;2.6902050252634075;2.7613402542968153
closed;closed;2.399197270126741;2.7613402542968153
closed;closed;2.4798360735978027;2.837817659025307
closed;closed;1.7788508309988662;2.3587692337787165
closed;closed;0.970573962252562;1.229393685519912
closed;closed;1.2251067110177019;1.2060636015200175
closed;closed;1.5514001577076648;1.6504256996890052
closed;closed;1.6876277114604628;1.9808448814053308
closed;closed;1.9206199496120422;2.353251064541717
closed;closed;2.091050388826763;2.6351167909352933
closed;closed;2.2858810891840413;2.715704883731468
closed;closed;2.243993134053852;2.599669279220889
closed;closed;2.0199405040646465;2.124195497822822
closed;closed;1.203511713193177;1.332921574826852
closed;closed;1.1765144120912043;1.472250275239813
closed;closed;1.4204742899551386;1.49866553527377
closed;closed;1.74457176014357;1.9478865141452641
closed;closed;2.0576167999754316;2.3358480024878325
closed;closed;2.075855319974889;2.405664109129778
closed;closed;2.1041604226125106;2.4777963855063208
closed;closed;2.2339652768942266;2.6597944352464986
closed;closed;2.4612617268550605;2.9794220904034945
closed;closed;2.491364395612199;3.0471302992487663
closed;closed;2.3682373191191552;2.690008693999475
closed;closed;2.6555718631857235;3.1672552221898016
closed;closed;2.3103184716406973;2.8637652364348476
closed;closed;2.359526038661381;2.787949465735399
closed;closed;2.3058136177905304;2.5843248131978136
closed;closed;1.3799001938861155;1.5770287930127034
closed;closed;1.2428274181607433;1.4060269781212449
closed;closed;1.3465946983954955;1.2757212932167852
closed;closed;1.7249468245482016;1.9194896994972468
closed;closed;2.0861186933441567;2.0665613305940553
closed;closed;2.033965726010553;2.236058474428268
closed;closed;2.0576167999754316;2.4134939194680376
closed;closed;2.3848329822182603;2.502119850196207
closed;closed;2.2858810891840413;2.6115051759623946
closed;closed;2.2207562718283707;2.8329295549716753
closed;closed;2.0750189510671477;2.406761792773808
closed;closed;2.4536012843092068;2.8873513794245547
closed;closed;2.6348699807753224;2.9520901995910247
closed;closed;2.374670960977935;2.9505448452477885
closed;closed;2.69503811503697;2.9535549606040656
closed;closed;2.603502439472759;3.033080341985764
closed;closed;2.539867876871157;2.904566854062913
closed;closed;1.413208536618054;1.4913583174448588
closed;closed;0.8236130746032551;0.957689621631692
closed;closed;1.0470739863173166;1.1492275459580303
closed;closed;1.4139583528452526;1.7658189567790943
closed;closed;1.8213332485855842;1.9254094342190462
closed;closed;1.9679929358214374;2.3668220689945527
closed;closed;2.2036694135982557;2.015154920989555
closed;closed;2.1241828839102834;2.403509685158425
closed;closed;2.3584384154895064;2.738409049096149
closed;closed;2.338784762027094;2.6597944352464986
closed;closed;2.415896388564956;2.854555082423633
closed;closed;2.3986844059520838;2.970728383523312
closed;closed;2.551691622627292;2.970430760699463
closed;closed;2.2801206052289467;2.5741189640693554
closed;closed;2.2800346451102516;2.536292141246562
closed;closed;2.5308175438849143;2.7852038433991195
